,second_name,team,player_code,now_cost,total_points,photo,position,value
2,Luiz Moreira Marinho,Arsenal,41270,5.4,25,41270.jpg,Defender,4.6
3,Aubameyang,Arsenal,54694,11.3,72,54694.jpg,Midfielder,6.4
4,Soares,Arsenal,58822,4.6,21,58822.jpg,Defender,4.6
5,Lacazette,Arsenal,59966,8.4,79,59966.jpg,Forward,9.4
6,Mustafi,Arsenal,69140,5.0,3,69140.jpg,Defender,0.6
7,Leno,Arsenal,80201,5.0,88,80201.jpg,Goalkeeper,17.6
8,Xhaka,Arsenal,84450,5.2,43,84450.jpg,Midfielder,8.3
9,Marí,Arsenal,92371,4.4,14,92371.jpg,Defender,3.2
10,Bellerín,Arsenal,98745,5.1,71,98745.jpg,Defender,13.9
12,Kolasinac,Arsenal,111457,4.8,2,111457.jpg,Defender,0.4
13,Holding,Arsenal,156074,4.6,69,156074.jpg,Defender,15.0
14,Tierney,Arsenal,192895,5.3,65,192895.jpg,Defender,12.3
15,Pépé,Arsenal,195735,7.6,39,195735.jpg,Midfielder,5.1
17,Nelson,Arsenal,200641,5.1,2,200641.jpg,Midfielder,0.4
18,Nketiah,Arsenal,205533,5.4,27,205533.jpg,Forward,5.0
19,Smith Rowe,Arsenal,209289,4.4,34,209289.jpg,Midfielder,7.7
20,Saka,Arsenal,223340,5.4,83,223340.jpg,Midfielder,15.4
22,Martinelli Silva,Arsenal,444145,4.9,9,444145.jpg,Midfielder,1.8
24,Ryan,Arsenal,131897,4.2,25,131897.jpg,Goalkeeper,6.0
25,Borges Da Silva,Arsenal,47431,7.5,43,47431.jpg,Midfielder,5.7
26,Magalhães,Arsenal,226597,5.0,48,226597.jpg,Defender,9.6
27,Ceballos Fernández,Arsenal,182539,4.7,33,182539.jpg,Midfielder,7.0
28,El Sayed Elneny,Arsenal,153256,4.3,23,153256.jpg,Midfielder,5.3
30,Rúnarsson,Arsenal,115918,4.4,1,115918.jpg,Goalkeeper,0.2
31,Partey,Arsenal,167199,4.9,20,167199.jpg,Midfielder,4.1
32,Ødegaard,Arsenal,184029,6.0,1,184029.jpg,Midfielder,0.2
33,Martínez,Aston Villa,98980,5.2,107,98980.jpg,Goalkeeper,20.6
35,El Mohamady,Aston Villa,37339,4.3,12,37339.jpg,Defender,2.8
39,Hourihane,Aston Villa,85242,5.9,20,85242.jpg,Midfielder,3.4
43,Grealish,Aston Villa,114283,7.8,125,114283.jpg,Midfielder,16.0
44,McGinn,Aston Villa,122806,5.5,64,122806.jpg,Midfielder,11.6
45,Hause,Aston Villa,123354,4.4,28,123354.jpg,Defender,6.4
46,Ibrahim Hassan,Aston Villa,148508,5.2,28,148508.jpg,Midfielder,5.4
47,Mings,Aston Villa,149484,5.4,78,149484.jpg,Defender,14.4
48,Targett,Aston Villa,169359,4.8,85,169359.jpg,Defender,17.7
50,Nakamba,Aston Villa,184704,4.3,9,184704.jpg,Midfielder,2.1
51,El Ghazi,Aston Villa,193488,5.6,51,193488.jpg,Midfielder,9.1
52,Konsa Ngoyo,Aston Villa,199798,4.6,70,199798.jpg,Defender,15.2
56,Davis,Aston Villa,221239,4.3,5,221239.jpg,Forward,1.2
58,Soares de Paulo,Aston Villa,230046,4.9,47,230046.jpg,Midfielder,9.6
59,Barkley,Aston Villa,88894,5.9,50,88894.jpg,Midfielder,8.5
60,Cash,Aston Villa,199796,5.0,73,199796.jpg,Defender,14.6
61,Watkins,Aston Villa,178301,6.3,91,178301.jpg,Forward,14.4
62,Traoré,Aston Villa,110504,5.9,63,110504.jpg,Midfielder,10.7
63,Ramsey,Aston Villa,232653,4.5,9,232653.jpg,Midfielder,2.0
64,Sanson,Aston Villa,122775,5.5,1,122775.jpg,Midfielder,0.2
66,Lallana,Brighton,39155,6.2,29,39155.jpg,Midfielder,4.7
67,Groß,Brighton,60307,5.8,61,60307.jpg,Midfielder,10.5
69,Pröpper,Brighton,66242,4.8,7,66242.jpg,Midfielder,1.5
71,Burn,Brighton,78916,4.2,27,78916.jpg,Defender,6.4
72,Dunk,Brighton,83299,4.8,65,83299.jpg,Defender,13.5
75,March,Brighton,109345,5.0,69,109345.jpg,Midfielder,13.8
76,Webster,Brighton,110735,4.4,59,110735.jpg,Defender,13.4
77,Veltman,Brighton,111478,4.3,43,111478.jpg,Defender,10.0
78,Maupay,Brighton,115382,6.1,74,115382.jpg,Forward,12.1
79,Trossard,Brighton,116216,5.7,74,116216.jpg,Midfielder,13.0
80,Jahanbakhsh,Brighton,165210,5.4,13,165210.jpg,Midfielder,2.4
